Food Item,Data Source,Portion,Energy (kcal),Protein (g),Carbohydrate (g),Total Fat (g),Dietary Fibre (g),Sugars (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
"Alcoholic beverage, wine, table, white, Sauvignon Blanc",A,100g,81,0.07,2.05,0,,,,,,
"Alcoholic beverage, daiquiri, canned",A,100g,125,0,15.7,0,0,,0,,0,40
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",A,100g,83,0.07,2.6,0,,,,,,
"Alcoholic beverage, wine, table, white, Riesling",A,100g,80,0.07,3.74,0,,,,,,
"Alcoholic beverage, beer, light",A,100g,29,0.24,1.64,0,0,0.09,0,,0,4
"Alcoholic beverage, wine, table, red",A,100g,85,0.07,2.61,0,0,0.62,0,,0,4
"Alcoholic beverage, rice (sake)",A,100g,134,0.5,5,0,0,0,0,,0,2
"Alcoholic beverage, wine, table, white, Semillon",A,100g,82,0.07,3.12,0,,,,,,
"Alcoholic beverage, beer, regular, all",A,100g,43,0.46,3.55,0,0,0,0,,0,4
"Alcoholic beverage, wine, table, all",A,100g,83,0.07,2.72,0,0,0.79,0,,0,5
"Alcoholic beverage, wine, light",A,100g,49,0.07,1.17,0,0,1.15,0,,0,7
Eggnog,A,100g,88,4.55,8.05,4.19,0,8.41,2.591,,59,54
"Alcoholic beverage, wine, dessert, sweet",A,100g,160,0.2,13.69,0,0,7.78,0,,0,9
"Alcoholic beverage, wine, dessert, dry",A,100g,152,0.2,11.67,0,0,1.09,0,,0,9
"Alcoholic beverage, wine, cooking",A,100g,50,0.5,6.3,0,0,1.55,0,,0,626
"Alcoholic beverage, wine, table, white, Gewurztraminer",A,100g,81,0.07,2.6,0,,,,,,
"Alcoholic beverage, distilled, whiskey, 86 proof",A,100g,250,0,0.1,0,0,0.1,0,,0,0
"Alcoholic beverage, liqueur, coffee, 63 proof",A,100g,308,0.1,32.2,0.3,0,32.2,0.106,,0,8
"Alcoholic Beverage, wine, table, red, Merlot",A,100g,83,0.07,2.51,0,0,0.62,,,,4
"Alcoholic beverage, wine, table, white, Muller Thurgau",A,100g,76,0.07,3.48,0,,,,,,
"Alcoholic beverage, distilled, vodka, 80 proof",A,100g,231,0,0,0,0,0,0,,0,1
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",A,100g,295,0,0,0,0,,0,,0,1
